[INFO ] [2021-10-24 23:52:48,546] Register 1 - Step 01: Open Register Page 
[INFO ] [2021-10-24 23:52:50,358] Register 1 - Step 02: Click Register button 
[INFO ] [2021-10-24 23:52:50,665] Register 1 - Step 03: Verify Error Message on required fields 
[INFO ] [2021-10-24 23:52:50,780]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:50,879]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:50,959]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:51,023]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:51,089]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:51,345] Register 2 - Step 01: Reload Register Page 
[INFO ] [2021-10-24 23:52:51,345] Register 2 - Step 02: Input in Firstname field with value Automation
[INFO ] [2021-10-24 23:52:51,587] Register 2 - Step 03: Input in Lastname field with value FC
[INFO ] [2021-10-24 23:52:51,741] Register 2 - Step 04: Input in Email Address field with value 'AutomationFC@gmail'
[INFO ] [2021-10-24 23:52:51,890] Register 2 - Step 05: Input in Password field with value '123'
[INFO ] [2021-10-24 23:52:52,006] Register 2 - Step 06: Input in Confirm Password field with value '123'
[INFO ] [2021-10-24 23:52:52,126] Register 2 - Step 07: Click on Register button
[INFO ] [2021-10-24 23:52:52,208] Register 2 - Step 08: Verify error message displays at Email Address field
[INFO ] [2021-10-24 23:52:52,289]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:52,290] Register 2 - Step 09: Verify error message displays at Password field
[INFO ] [2021-10-24 23:52:52,387]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:52,394] Register 3 - Step 01: Reload Register Page 
[INFO ] [2021-10-24 23:52:52,394] Register 3 - Step 02: Input in Firstname field with value Automation
[INFO ] [2021-10-24 23:52:52,562] Register 3 - Step 03: Input in Lastname field with value FC
[INFO ] [2021-10-24 23:52:52,701] Register 3 - Step 04: Input in Email Address field with value automationFC325194@xyz.com
[INFO ] [2021-10-24 23:52:52,880] Register 3 - Step 05: Input in Password field with value 123123
[INFO ] [2021-10-24 23:52:53,015] Register 3 - Step 06: Input in Confirm Password field with value 123123432928
[INFO ] [2021-10-24 23:52:53,174] Register 3 - Step 07: Click on Register button
[INFO ] [2021-10-24 23:52:53,287] Register 3 - Step 08: Verify error message displays at Confirm Password field
[INFO ] [2021-10-24 23:52:53,354]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:53,360] Register 4 - Step 01: Reload Register Page 
[INFO ] [2021-10-24 23:52:53,360] Register 4 - Step 02: Input in Firstname field with value Automation
[INFO ] [2021-10-24 23:52:53,506] Register 4 - Step 03: Input in Lastname field with value FC
[INFO ] [2021-10-24 23:52:53,629] Register 4 - Step 04: Input in Email Address field with value automationFC325194@xyz.com
[INFO ] [2021-10-24 23:52:53,793] Register 4 - Step 05: Input in Password field with value 123123
[INFO ] [2021-10-24 23:52:53,925] Register 4 - Step 06: Input in Confirm Password field with value 123123
[INFO ] [2021-10-24 23:52:54,088] Register 4 - Step 06: Select Signup for Newsletter checkbox
[INFO ] [2021-10-24 23:52:54,192] Register 4 - Step 08: Click on Register button
[INFO ] [2021-10-24 23:52:55,828] Register 4 - Step 09: Verify Success message displays on My Dashboard page
[INFO ] [2021-10-24 23:52:56,109]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:52:56,114] OS name = mac os x
[INFO ] [2021-10-24 23:52:56,288] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-10-24 23:52:59,384] Pre-condition - Step 01: Click on Account menu
[INFO ] [2021-10-24 23:52:59,478] Pre-condition - Step 02: Open Log In Page from Account menu
[INFO ] [2021-10-24 23:53:00,649] Login 1 - Step 01: Click on Login button
[INFO ] [2021-10-24 23:53:00,877] Login 1 - Step 02: Verify required error message displays at Email Address field
[INFO ] [2021-10-24 23:53:00,971]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:00,972] Login 1 - Step 03: Verify required error message displays at Password field
[INFO ] [2021-10-24 23:53:01,010]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:01,016] Login 2 - Step 01: Input Email Address textbox with value gmlogin123@gmail.com
[INFO ] [2021-10-24 23:53:01,279] Login 2 - Step 02: Input Password textbox with value '123'
[INFO ] [2021-10-24 23:53:01,401] Login 3 - Step 03: Click on Login button
[INFO ] [2021-10-24 23:53:01,488] Login 2 - Step 04: Verify validation error message displayes at Password field
[INFO ] [2021-10-24 23:53:01,520]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:01,527] Login 3 - Step 01: Input Email Address Textbox with value 'gmlogin123@gmail'
[INFO ] [2021-10-24 23:53:01,705] Login 3 - Step 02: Input Password Textbox with value 123123
[INFO ] [2021-10-24 23:53:01,841] Login 3 - Step 03: Click on Login button
[INFO ] [2021-10-24 23:53:01,938] Login 3 - Step 04: Verify validation error message displays at Email Adress field
[INFO ] [2021-10-24 23:53:01,981]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:01,986] Login 4 - Step 01: Input Email Address Textbox with value gmlogin123@gmail.com279299
[INFO ] [2021-10-24 23:53:02,135] Login 4 - Step 02: Input Password Textbox with value 12312393510
[INFO ] [2021-10-24 23:53:02,261] Login 4 - Step 03: Click on Login button
[INFO ] [2021-10-24 23:53:03,680] Login 4 - Step 04: Verify error message displays under page title
[INFO ] [2021-10-24 23:53:03,706]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:03,712] Login 5 - Step 01: Input Email Address Textbox with value gmlogin123@gmail.com
[INFO ] [2021-10-24 23:53:04,091] Login 5 - Step 02: Input Password Textbox with value 123123
[INFO ] [2021-10-24 23:53:04,214] Login 5 - Step 03: Click on Login button
[INFO ] [2021-10-24 23:53:05,651] Login 5 - Step 04: Verify My Dashboard page title displays
[INFO ] [2021-10-24 23:53:05,897]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:05,897] Login 5 - Step 05: Verify Welcome Message displays
[INFO ] [2021-10-24 23:53:05,926]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:05,928] OS name = mac os x
[INFO ] [2021-10-24 23:53:06,107] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-10-24 23:53:10,334] Price Display - Step 01: Click on 'Mobile' menu
[INFO ] [2021-10-24 23:53:11,849] Price Display - Step 02: Get price of 'Sony Xperia' mobile
[INFO ] [2021-10-24 23:53:11,875] Price Display - Step 03: Click on 'Sony Xperia' detail
[INFO ] [2021-10-24 23:53:15,328] Price Display - Step 04: Get price of 'Sony Xperia' on Detail page
[INFO ] [2021-10-24 23:53:15,359] Price Display - Step 05: Verify Price of 'Sony Xperia' in Product page & Detail page are equal
[INFO ] [2021-10-24 23:53:15,374]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:15,376] OS name = mac os x
[INFO ] [2021-10-24 23:53:15,529] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-10-24 23:53:18,639] Add To Cart - Step 01: Click on 'Mobile' menu link
[INFO ] [2021-10-24 23:53:20,043] Add To Cart - Step 02: Add 'Sony Xperia' to cart
[INFO ] [2021-10-24 23:53:22,266] Add To Cart - Step 03: Verify add to cart success message
[INFO ] [2021-10-24 23:53:22,323]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-24 23:53:22,323] Add To Cart - Step 04: Verify Sony Xperia details displayed in cart
[INFO ] [2021-10-24 23:53:22,369]  -------------------------- PASSED -------------------------- 
